,verb,oricat,pos,neg,equal
1494,flatten,pos,soften,bulge,darken
1495,close,pos,near,stay,go
1496,spread,pos,rise,rest,put
1497,vault,pos,wall,cave,record
1498,spur,pos,stimulate,desire,hike
1499,zap,pos,stun,vanish,blink
1500,duck,pos,roast,fart,dog
1501,depict,pos,portray,resemble,characterize
1502,demonstrate,pos,illustrate,recognize,examine
1503,shovel,pos,plow,snow,pry
1504,handcuff,pos,strangle,gag,strangle
1505,portray,pos,depict,relate,characterize
1506,operate,pos,employ,rely,require
1507,down,pos,back,sit,put
1508,emblazon,pos,brandish,agonize,appall
1509,dazzle,pos,astonish,sparkle,mesmerize
1510,transfer,pos,transport,accept,access
1511,plow,pos,shovel,snow,skid
1512,overcome,pos,confront,suffer,struggle
1513,bow,pos,tie,silhouette,stand
1514,manipulate,pos,distort,analyze,behave
1515,straddle,pos,grapple,crouch,strangle
1516,separate,pos,split,consist,own
1517,obscure,pos,sort,seem,mention
1518,rave,pos,dance,hear,rock
1519,kiss,pos,hug,stare,cry
1520,beckon,pos,tempt,linger,mesmerize
1521,spark,pos,ignite,glow,fuel
1522,pluck,pos,scrape,weep,pry
1523,breed,pos,herd,brood,dog
1524,plop,pos,slurp,doze,slosh
1525,position,pos,move,spot,angle
1526,heal,pos,mend,pray,pray
1527,mend,pos,heal,grieve,pray
1528,nurse,pos,care,sleep,foster
1529,delay,pos,postpone,lag,defer
1530,heave,pos,groan,tremble,stagger
1531,inject,pos,dispense,breathe,contaminate
1532,arise,pos,resolve,occur,concern
1533,bury,pos,dig,grieve,let
1534,hug,pos,kiss,sob,cuddle
1535,frisk,pos,detain,hunch,slur
1536,commence,pos,begin,cease,arrive
1537,torment,pos,inflict,endure,curse
1538,shrug,pos,chuckle,smirk,sigh
1539,wield,pos,brandish,perceive,possess
1540,hurtle,pos,careen,plummet,skitter
1541,smile,pos,grin,smirk,wink
1542,light,pos,beam,glow,mirror
1543,soften,pos,soothe,fade,darken
1544,form,pos,appear,result,result
1545,seat,pos,rear,sit,stand
1546,wrench,pos,bolt,choke,pry
1547,elbow,pos,shoulder,ache,shin
1548,pound,pos,chop,crumble,weigh
1549,manage,pos,maintain,need,communicate
1550,reassure,pos,persuade,impress,reiterate
1551,guard,pos,protect,spot,stand
1552,barrel,pos,rifle,choke,recoil
1553,assail,pos,besiege,repulse,bewilder
1554,stitch,pos,sew,loom,pocket
1555,letter,pos,send,address,note
1556,whistle,pos,rattle,chime,whine
1557,depose,pos,overthrow,repulse,resign
1558,belt,pos,buckle,flap,pocket
1559,converse,pos,speak,perceive,communicate
1560,pardon,pos,forgive,regret,excuse
1561,toast,pos,cake,crumble,serve
1562,aid,pos,help,benefit,require
1563,incorporate,pos,integrate,reflect,require
1564,browse,pos,peruse,enjoy,advertise
1565,fall,pos,spring,happen,go
1566,jut,pos,sidle,protrude,stoop
1567,sustain,pos,maintain,desire,lend
1568,savor,pos,delight,relish,indulge
1569,practice,pos,teach,experience,learn
1570,suffocate,pos,strangle,breathe,strangle
1571,layer,pos,surface,correspond,overlap
1572,suggest,pos,explain,consider,presume
1573,withdraw,pos,withhold,accept,reconsider
1574,distinguish,pos,identify,perceive,characterize
1575,page,pos,link,see,check
1576,finance,pos,credit,interest,pay
1577,collapse,pos,decline,slump,result
1578,document,pos,file,address,request
1579,rap,pos,hop,hate,rock
1580,ease,pos,comfort,worry,feel
1581,cascade,pos,ripple,flow,crest
1582,sputter,pos,etch,falter,hyperventilate
1583,dismiss,pos,deny,appeal,reconsider
1584,near,pos,close,spot,found
1585,present,pos,will,regard,well
1586,hook,pos,pull,reel,latch
1587,rat,pos,bone,smell,dog
1588,exit,pos,turn,follow,leave
1589,chain,pos,ring,fancy,tire
1590,pivot,pos,rotate,curve,angle
1591,ask,pos,tell,know,let
1592,absorb,pos,dissipate,breathe,accumulate
1593,withhold,pos,disclose,defer,defer
1594,dominate,pos,compete,seem,struggle
1595,snatch,pos,lick,limp,pry
1596,overturn,pos,uphold,appeal,reconsider
1597,deflate,pos,flatten,subside,depress
1598,scan,pos,detect,monitor,check
1599,contain,pos,indicate,consist,correspond
1600,point,pos,reason,guess,suppose
1601,range,pos,offer,vary,well
1602,control,pos,power,monitor,access
1603,spoil,pos,ruin,forget,let
1604,illuminate,pos,brighten,reflect,darken
1605,grit,pos,grind,rust,bristle
1606,lure,pos,tempt,impress,attract
1607,push,pos,pull,keep,put
1608,travel,pos,trip,trip,go
1609,consult,pos,advise,hesitate,examine
1610,crawl,pos,burrow,stumble,creep
1611,brace,pos,strut,bow,shin
1612,dial,pos,telephone,clock,button
1613,bash,pos,ignore,forget,excuse
1614,disagree,pos,agree,believe,agree
1615,fan,pos,love,cool,like
1616,lap,pos,race,sit,cuddle
1617,dash,pos,splash,sparkle,put
1618,feed,pos,eat,keep,live
1619,plant,pos,soil,rot,waste
1620,provide,pos,ensure,need,require
1621,lighten,pos,brighten,fade,darken
1622,loose,pos,pull,keep,lose
1623,vibrate,pos,emit,throb,pulsate
1624,hustle,pos,bustle,relax,stroll
1625,toy,pos,pet,puzzle,dog
1626,prick,pos,shove,throb,freak
1627,correct,pos,determine,assume,answer
1628,love,pos,think,know,adore
1629,credit,pos,cash,interest,pay
1630,reject,pos,deny,accept,reconsider
1631,escort,pos,taxi,surrender,greet
1632,drug,pos,abuse,benefit,risk
1633,register,pos,enter,address,check
1634,deter,pos,discourage,intend,endanger
1635,balance,pos,maintain,sense,focus
1636,babble,pos,chatter,sob,whine
1637,retrieve,pos,fetch,analyze,verify
1638,devise,pos,invent,intend,envision
1639,back,pos,down,rest,go
1640,summons,pos,arrest,witness,court
1641,cage,pos,fence,choke,dog
1642,blur,pos,glare,fade,flicker
1643,pledge,pos,promise,trust,pay
1644,obstruct,pos,interfere,protrude,endanger
1645,entertain,pos,amuse,impress,indulge
1646,assemble,pos,gather,intend,serve
1647,trail,pos,ride,snow,hike
1648,paste,pos,add,glitter,scroll
1649,hurt,pos,upset,worry,feel
1650,insist,pos,argue,assume,presume
1651,rail,pos,train,tower,fuel
1652,prowl,pos,pounce,lurk,creep
1653,surprise,pos,disappoint,wonder,imagine
1654,scour,pos,sift,stumble,examine
1655,unroll,pos,unwrap,wither,pulsate
1656,subdue,pos,restrain,repulse,strangle
0,know,neg,think,want,understand
1,materialize,neg,anticipate,vanish,envision
2,impress,neg,disappoint,fascinate,attract
3,sweat,neg,wet,breathe,pant
4,loll,neg,jut,doze,yawn
5,haunt,neg,ruin,linger,curse
6,dread,neg,doom,fear,envy
7,dwarf,neg,grow,resemble,shadow
8,doubt,neg,reason,believe,suppose
9,slant,neg,twist,slouch,angle
10,cower,neg,scurry,tremble,squirm
11,stay,neg,close,keep,leave
12,worry,neg,bother,forget,let
13,flinch,neg,clench,wince,squirm
14,value,neg,cost,attribute,result
15,belong,neg,represent,exist,suppose
16,estimate,neg,calculate,value,predict
17,leer,neg,sneer,smirk,glower
18,slink,neg,slither,cower,skitter
19,subside,neg,dissipate,recede,swell
20,appeal,neg,dismiss,consider,court
21,fixate,neg,superimpose,agonize,obsess
22,address,neg,mail,please,request
23,glisten,neg,undulate,gleam,glint
24,gag,neg,tease,fart,joke
25,hate,neg,despise,guess,like
26,exist,neg,arise,seem,understand
27,crouch,neg,kneel,cower,stoop
28,whimper,neg,groan,sob,gasp
29,rot,neg,soil,rust,creep
30,flap,neg,cuff,slant,pocket
31,dream,neg,love,desire,mind
32,apply,neg,obtain,qualify,require
33,expect,neg,say,want,imagine
34,correspond,neg,indicate,relate,overlap
35,constitute,neg,represent,imply,correspond
36,ponder,neg,comprehend,contemplate,mull
37,smell,neg,taste,stink,sniff
38,miss,neg,love,forget,remember
39,sleep,neg,awake,relax,mind
40,throb,neg,groan,ache,pulsate
41,ache,neg,relieve,throb,cough
42,regard,neg,reason,consider,respect
43,experience,neg,work,enjoy,well
44,fancy,neg,elaborate,prefer,imagine
45,limp,neg,shove,whimper,shiver
46,see,neg,think,know,look
47,encounter,neg,discover,glimpse,imagine
48,surrender,neg,abandon,accept,retreat
49,occur,neg,arise,happen,result
50,dawn,neg,wake,dream,march
51,die,neg,kill,survive,cry
52,glitter,neg,glue,sparkle,twinkle
53,glow,neg,light,sparkle,shine
54,prefer,neg,tend,want,like
55,twitch,neg,clench,flinch,shiver
56,snicker,neg,chuckle,smirk,gasp
57,wait,neg,get,forget,let
58,perceive,neg,comprehend,recognize,understand
59,idle,neg,throttle,lag,fuel
60,choke,neg,strangle,bleed,strangle
61,fear,neg,panic,dread,anger
62,drool,neg,giggle,cringe,gush
63,blush,neg,shade,shimmer,wink
64,cringe,neg,chuckle,shudder,squirm
65,live,neg,show,enjoy,go
66,age,neg,time,mean,risk
67,smolder,neg,seethe,linger,writhe
68,skip,neg,bother,pause,go
69,chime,neg,rattle,clock,chirp
70,tower,neg,wall,cave,stand
71,recall,neg,remind,wonder,remember
72,float,neg,hover,overflow,glide
73,rely,neg,employ,depend,require
74,vary,neg,range,depend,correspond
75,depend,neg,affect,rely,require
76,glimpse,neg,reveal,peek,look
77,smirk,neg,grin,grimace,wink
78,endure,neg,survive,suffer,tolerate
79,relish,neg,savor,enjoy,indulge
80,wish,neg,tell,want,hope
81,peek,neg,sneak,glimpse,look
82,doze,neg,awake,sleep,yawn
83,seem,neg,tend,doubt,suppose
84,deserve,neg,give,appreciate,hope
85,cave,neg,stone,wander,rock
86,qualify,neg,earn,receive,pay
87,trust,neg,reason,believe,respect
88,tremble,neg,groan,shudder,shiver
89,lurk,neg,prowl,linger,creep
90,benefit,neg,provide,depend,pay
91,obey,neg,enforce,follow,behave
92,appreciate,neg,thank,enjoy,admire
93,intend,neg,decide,consider,presume
94,view,neg,right,see,picture
95,imply,neg,indicate,assume,presume
96,fade,neg,disappear,vanish,darken
97,disgust,neg,utter,cringe,anger
98,sit,neg,hang,rest,stand
99,grieve,neg,mourn,weep,pray
100,shudder,neg,groan,cringe,gasp
101,stumble,neg,discover,wander,stagger
102,border,neg,fence,rest,side
103,sparkle,neg,dazzle,shimmer,twinkle
104,clock,neg,alarm,chime,display
105,snore,neg,sneeze,sleep,yawn
106,bald,neg,man,face,freak
107,overflow,neg,drain,flow,tap
108,perplex,neg,astonish,fascinate,bewilder
109,interest,neg,credit,consider,concern
110,undergo,neg,undertake,endure,require
111,guess,neg,think,know,suppose
112,misunderstand,neg,confuse,perceive,underestimate
113,slouch,neg,shrug,hunch,pant
114,inherit,neg,declare,attribute,possess
115,rust,neg,stain,rot,bark
116,consist,neg,contain,constitute,correspond
117,desire,neg,seek,sense,mind
118,sense,neg,reason,lack,mind
119,stink,neg,pee,smell,sniff
120,consider,neg,decide,assume,understand
121,wail,neg,howl,weep,squeal
122,fart,neg,pee,stink,joke
123,gleam,neg,grin,glisten,glint
124,forget,neg,tell,know,remember
125,vanish,neg,disappear,fade,darken
126,sulk,neg,grumble,cower,whine
127,want,neg,get,need,let
128,loom,neg,weave,dread,mull
129,cease,neg,continue,intend,cooperate
130,bow,neg,tie,silhouette,stand
131,weep,neg,mourn,grieve,cry
132,observe,neg,interpret,perceive,examine
133,lack,neg,reason,sense,concern
134,assume,neg,reason,believe,presume
135,breathe,neg,exhale,sweat,inhale
136,rest,neg,back,sit,leave
137,hear,neg,listen,know,let
138,grimace,neg,scowl,smirk,squint
139,silhouette,neg,shape,shimmer,pant
140,droop,neg,frown,sag,stagger
141,hesitate,neg,ask,please,let
142,faint,neg,whisper,smell,shiver
143,monitor,neg,detect,analyze,screen
144,spot,neg,place,rest,eye
145,cool,neg,warm,keep,chill
146,sob,neg,groan,whimper,sigh
147,intrigue,neg,thrill,fascinate,envy
148,keep,neg,make,need,let
149,sag,neg,bend,droop,swell
150,reel,neg,hook,bow,slide
151,survive,neg,fend,endure,struggle
152,witness,neg,testify,observe,court
153,curve,neg,shape,flow,angle
154,pause,neg,silence,skip,blink
155,owe,neg,repay,deserve,pay
156,brood,neg,swarm,sulk,dwell
157,feature,neg,include,cool,screen
158,recline,neg,swivel,sit,glide
159,fail,neg,ignore,happen,mistake
160,wince,neg,groan,cringe,squirm
161,resent,neg,despise,misunderstand,tolerate
162,trickle,neg,drip,flow,gush
163,bleed,neg,tear,fade,blink
164,mean,neg,think,guess,suppose
165,reflect,neg,emphasize,relate,examine
166,suffer,neg,cause,endure,tolerate
167,realize,neg,think,believe,understand
168,face,neg,head,stare,eye
169,decay,neg,disintegrate,rot,neglect
170,shimmer,neg,swirl,sparkle,shine
171,wobble,neg,jiggle,sag,creak
172,pray,neg,bless,grieve,hope
173,span,neg,gap,correspond,overlap
174,glance,neg,smile,glimpse,gaze
175,relate,neg,describe,reflect,understand
176,precede,neg,indicate,occur,correspond
177,accept,neg,reject,acknowledge,understand
178,happen,neg,think,realize,imagine
179,plummet,neg,soar,slump,depress
180,flow,neg,water,overflow,fuel
181,relax,neg,calm,enjoy,indulge
182,teeter,neg,careen,wobble,waver
183,matter,neg,reason,doubt,understand
184,fascinate,neg,astonish,perplex,mesmerize
185,enjoy,neg,savor,appreciate,indulge
186,falter,neg,relent,tremble,waver
187,trip,neg,travel,stay,hike
188,hunch,neg,reckon,guess,presume
189,defer,neg,postpone,intend,reconsider
190,bulge,neg,scar,protrude,swell
191,need,neg,get,want,understand
192,remain,neg,become,stay,leave
193,acknowledge,neg,affirm,recognize,recognise
194,wonder,neg,think,guess,imagine
195,roam,neg,prowl,wander,stroll
196,regret,neg,apologize,doubt,mistake
197,await,neg,beckon,wait,greet
198,overlook,neg,ignore,contemplate,admire
199,repulse,neg,subdue,flinch,horrify
200,lag,neg,delay,pause,creep
201,lounge,neg,bar,relax,lodge
202,agonize,neg,exasperate,grieve,obsess
203,protrude,neg,jut,bulge,enclose
204,underlie,neg,mediate,precede,characterize
205,follow,neg,take,see,go
206,crumble,neg,disintegrate,falter,stagger
207,puzzle,neg,riddle,tower,flash
208,slump,neg,decline,plummet,struggle
209,wander,neg,amble,roam,stroll
210,recede,neg,disappear,subside,darken
211,believe,neg,think,know,understand
212,recognize,neg,identify,acknowledge,recognise
213,please,neg,contact,hesitate,let
214,receive,neg,send,benefit,pay
215,resemble,neg,mimic,seem,imitate
216,snow,neg,rain,cool,chill
217,reply,neg,comment,please,answer
218,stare,neg,grin,glance,gaze
219,wither,neg,disintegrate,falter,darken
220,have,neg,get,know,well
221,contemplate,neg,comprehend,ponder,envision
222,attribute,neg,object,value,correspond
223,result,neg,cause,occur,risk
224,pose,neg,scare,face,concern
225,analyze,neg,evaluate,relate,examine
226,linger,neg,savor,haunt,dwell
0,preoccupy,equal,unnerve,perplex,bewilder
1,pry,equal,unscrew,choke,grasp
2,recount,equal,vote,recall,examine
3,anger,equal,panic,fear,envy
4,curse,equal,torment,fear,spell
5,stagger,equal,lurch,stumble,writhe
6,court,equal,judge,appeal,warrant
7,joke,equal,laugh,guess,excuse
8,recognise,equal,distinguish,recognize,realise
9,isolate,equal,strain,analyze,characterize
10,reiterate,equal,reaffirm,acknowledge,reconsider
11,wink,equal,grin,smirk,sigh
12,tick,equal,bite,pause,blink
13,waver,equal,relent,falter,writhe
14,oblige,equal,compel,intend,presume
15,quote,equal,comment,reply,joke
16,suppose,equal,think,guess,presume
17,accompany,equal,prepare,precede,greet
18,squirm,equal,wriggle,cringe,writhe
19,march,equal,protest,dawn,struggle
20,afford,equal,spend,want,pay
21,depress,equal,diminish,subside,endanger
22,foster,equal,encourage,trust,neglect
23,freak,equal,fool,hate,joke
24,characterize,equal,distinguish,analyze,examine
25,cooperate,equal,intervene,intend,communicate
26,course,equal,take,experience,well
27,hyperventilate,equal,convulse,flinch,squirm
28,concentrate,equal,focus,realize,focus
29,crest,equal,flank,flap,lodge
30,obsess,equal,exaggerate,fixate,agonize
31,correspond,equal,indicate,relate,overlap
32,horrify,equal,terrify,fascinate,appall
33,cough,equal,sneeze,ache,wheeze
34,multiply,equal,divide,correspond,accumulate
35,appall,equal,unnerve,perplex,horrify
36,whine,equal,grumble,wail,squeal
37,glower,equal,scowl,grimace,squint
38,slosh,equal,slop,wobble,skitter
39,stoop,equal,kneel,cower,excuse
40,fidget,equal,wriggle,twitch,squirm
41,yawn,equal,groan,snicker,sigh
42,memorize,equal,recite,ponder,learn
43,spatter,equal,splatter,rust,slosh
44,tap,equal,drain,flow,button
45,radiate,equal,emanate,glow,pulsate
46,brief,equal,outline,glimpse,note
47,shadow,equal,shade,glow,eye
48,sniff,equal,snort,smell,gasp
49,picture,equal,photograph,see,look
50,request,equal,submit,please,notice
51,entitle,equal,deprive,constitute,oblige
52,project,equal,progress,need,focus
53,remember,equal,think,forget,imagine
54,live,equal,show,enjoy,go
55,feel,equal,think,want,mind
56,notice,equal,reason,see,note
57,stand,equal,hold,sit,let
58,envision,equal,anticipate,contemplate,imagine
59,pay,equal,cash,owe,afford
60,button,equal,click,pause,scroll
61,squeak,equal,rattle,whimper,squeal
62,read,equal,write,see,remember
63,communicate,equal,convey,relate,understand
64,resign,equal,retire,regret,reconsider
65,learn,equal,teach,know,understand
66,side,equal,front,rest,well
67,indulge,equal,savor,enjoy,stroll
68,whoop,equal,holler,fart,squeal
69,mat,equal,pad,sit,skid
70,stroll,equal,walk,wander,indulge
71,shine,equal,brighten,sparkle,eye
72,converge,equal,collide,materialize,intersect
73,imitate,equal,mimic,resemble,behave
74,understand,equal,explain,know,learn
75,recoil,equal,rifle,flinch,bore
76,writhe,equal,wriggle,tremble,squirm
77,reconsider,equal,postpone,defer,defer
78,creak,equal,clatter,whimper,squeak
79,display,equal,color,monitor,screen
80,rock,equal,pop,cool,like
81,angle,equal,tilt,curve,mirror
82,grasp,equal,comprehend,perceive,understand
83,chill,equal,warm,cool,shiver
84,fuel,equal,exhaust,flow,waste
85,sprawl,equal,bustle,roam,envision
86,gawk,equal,saunter,stare,squirm
87,chirp,equal,screech,chime,squeal
88,warrant,equal,arrest,constitute,court
89,clink,equal,clatter,snicker,creak
90,ooze,equal,slither,drool,gush
91,found,equal,suggest,have,well
92,slide,equal,flip,curve,glide
93,fiddle,equal,tune,wail,whine
94,glint,equal,grin,gleam,twinkle
95,arrive,equal,depart,wait,leave
96,mistake,equal,blame,doubt,excuse
97,concern,equal,reason,regard,risk
98,struggle,equal,overcome,survive,understand
99,mirror,equal,light,face,eye
100,respect,equal,agree,regard,agree
101,blare,equal,screech,wail,pulsate
102,go,equal,get,want,let
103,squeal,equal,shriek,whimper,squeak
104,echo,equal,sound,hear,pulse
105,watch,equal,listen,see,go
106,wheeze,equal,sneeze,snore,cough
107,slur,equal,insult,disgust,joke
108,sport,equal,race,enjoy,focus
109,yield,equal,produce,value,result
110,shiver,equal,groan,shudder,squirm
111,spell,equal,trick,forget,curse
112,possess,equal,obtain,desire,grasp
113,bid,equal,deal,qualify,pay
114,envy,equal,despise,disgust,anger
115,purr,equal,growl,whimper,cuddle
116,realise,equal,reckon,realize,recognise
117,sizzle,equal,crackle,sparkle,pulsate
118,let,equal,tell,want,go
119,record,equal,track,live,put
120,latch,equal,lock,flap,slide
121,bore,equal,bolt,choke,recoil
122,lose,equal,regain,want,afford
123,mull,equal,scrutinize,ponder,reconsider
124,imagine,equal,think,wonder,suppose
125,sigh,equal,chuckle,sob,gasp
126,accumulate,equal,absorb,depend,contaminate
127,bristle,equal,brush,protrude,bark
128,cloak,equal,disguise,bow,shadow
129,glide,equal,smooth,float,slide
130,flash,equal,flip,puzzle,screen
131,skitter,equal,scurry,slink,writhe
132,furrow,equal,plow,droop,flail
133,slick,equal,smooth,cool,slide
134,hope,equal,think,wish,let
135,mesmerize,equal,astonish,fascinate,bewilder
136,behave,equal,react,perceive,presume
137,size,equal,fit,vary,inch
138,count,equal,number,mean,result
139,tire,equal,wheel,snow,skid
140,admire,equal,applaud,appreciate,adore
141,express,equal,convey,desire,communicate
142,strangle,equal,suffocate,choke,squirm
143,enclose,equal,encase,protrude,correspond
144,look,equal,make,see,like
145,scroll,equal,click,pause,button
146,disapprove,equal,approve,defer,reconsider
147,resume,equal,schedule,need,brief
148,shin,equal,elbow,ache,thumb
149,feed,equal,eat,keep,live
150,presume,equal,insist,assume,suppose
151,risk,equal,avoid,suffer,concern
152,pant,equal,ruffle,sweat,pocket
153,own,equal,make,want,put
154,squint,equal,scowl,grimace,gaze
155,pocket,equal,bag,flap,pant
156,waste,equal,trash,matter,fuel
157,animate,equal,render,perceive,imitate
158,retreat,equal,camp,relax,lodge
159,murmur,equal,whisper,whimper,mutter
160,put,equal,make,keep,let
161,skid,equal,plow,rust,tire
162,leave,equal,take,stay,let
163,well,equal,better,have,like
164,overlap,equal,define,correspond,correspond
165,endanger,equal,threaten,cease,contaminate
166,examine,equal,assess,analyze,characterize
167,dwell,equal,torment,grieve,behold
168,gasp,equal,groan,shudder,sigh
169,caution,equal,avoid,regard,concern
170,attend,equal,participate,receive,invite
171,stub,equal,insert,attribute,enclose
172,darken,equal,lighten,fade,shine
173,blink,equal,disappear,fade,flicker
174,focus,equal,emphasize,reflect,concentrate
175,overhear,equal,blurt,snicker,mutter
176,blaze,equal,fire,dawn,shadow
177,mind,equal,reason,sense,feel
178,attract,equal,lure,impress,advertise
179,tolerate,equal,complain,endure,behave
180,excuse,equal,blame,forget,mistake
181,pray,equal,bless,grieve,hope
182,bawl,equal,holler,wail,squeal
183,pal,equal,kid,guess,dog
184,greet,equal,welcome,await,invite
185,twinkle,equal,smile,gleam,glint
186,usher,equal,snoop,dawn,greet
187,predict,equal,anticipate,expect,characterize
188,underestimate,equal,exaggerate,misunderstand,predict
189,eye,equal,sight,face,gaze
190,congratulate,equal,applaud,acknowledge,invite
191,access,equal,secure,receive,require
192,gesture,equal,swipe,glance,gaze
193,screen,equal,touch,monitor,display
194,fumble,equal,sack,stumble,mistake
195,cry,equal,scream,weep,sigh
196,intersect,equal,collide,correspond,converge
197,bewilder,equal,astonish,perplex,appall
198,pulsate,equal,vibrate,throb,writhe
199,defer,equal,postpone,intend,reconsider
200,cuddle,equal,snuggle,sleep,purr
201,marvel,equal,delight,wonder,admire
202,flail,equal,brandish,wail,writhe
203,thumb,equal,finger,bulge,slide
204,require,equal,allow,need,possess
205,gaze,equal,sight,stare,eye
206,hike,equal,trail,trip,stroll
207,answer,equal,question,know,understand
208,account,equal,credit,interest,pay
209,bark,equal,chew,rot,dog
210,verify,equal,confirm,analyze,check
211,agonize,equal,exasperate,grieve,obsess
212,neglect,equal,abuse,suffer,concern
213,bob,equal,rob,dawn,rock
214,lodge,equal,park,stay,retreat
215,agree,equal,disagree,believe,understand
216,adore,equal,love,appreciate,admire
217,behold,equal,sight,weep,dwell
218,invite,equal,welcome,wish,attend
219,mutter,equal,mumble,snicker,whine
220,inhale,equal,exhale,breathe,sniff
221,pulse,equal,signal,flow,chirp
222,lend,equal,borrow,owe,afford
223,compare,equal,evaluate,consider,examine
224,weigh,equal,pound,ponder,lose
225,dog,equal,pet,keep,bark
226,inch,equal,steel,monitor,size
227,creep,equal,crawl,lurk,drift
228,revolve,equal,involve,relate,obsess
229,swell,equal,wind,subside,gush
230,fishtail,equal,ruffle,silhouette,pant
231,flicker,equal,blur,glow,blink
232,mention,equal,reason,doubt,suppose
233,note,equal,letter,see,notice
234,serve,equal,bring,need,well
235,drift,equal,shift,float,creep
236,like,equal,think,know,look
237,advertise,equal,sell,intend,attract
238,result,equal,cause,occur,risk
239,contaminate,equal,infect,lurk,endanger
240,gush,equal,spew,drool,ooze
241,check,equal,get,please,verify
